1000,comment,Prequalified sentiment,Information,Opinion,Advice,Impression,Progress,Exercise,Body,Video,Length,Reviewer
610,"Please help. I was doing warrior 2 and my shoulder dislocated! It happens from time to time but I want to continue - I love Yoga with Adrienne, its great, but I am petrified it will happen again. What measures can I take to ensure that my yoga practice is safe? Please advise",-0.5339302421,-0.60,0.30,-0.90,0.70,0.00,-0.50,-0.60,0.30,275,M
611,"The amount of times I do something slightly differently and feel bad for a second, then tell myself ""Nah, Adriene wouldn't mind if I find what feels good!"" ^_^",-0.9919143915,0.20,0.30,0.00,0.70,0.20,0.00,0.00,0.30,159,M
612,Yoga with Adriene videos are the only thing I look forward to all day (i do yoga at night),-0.9876696467,0.70,0.40,0.00,0.00,0.00,0.00,0.00,0.60,90,J
613,"Day 9 on 9th May, 👍 for myself  and 👍 for Andriene. Namaste.",-0.905669868,0.50,0.40,0.00,0.50,0.50,0.30,0.20,0.00,62,P
614,My day Eight.... I am BOLD!,0.9996603727,0.30,0.40,0.00,0.00,0.70,0.70,0.00,0.00,27,D
615,"I'm so thankful I found your channel and committed thus far into 30 day yoga camp. I absolutely love your videos and the way you instruct and guide through them, it makes me feel strong and confident and the constant reminders to check in with myself help keep me in my ""zen"" mode. I wake up every morning and do a yoga practice off your channel, I absolutely love it. Thank you Adrienne. 😊",0.9998036027,0.60,0.40,0.00,0.80,0.50,0.00,0.00,0.40,391,M
616,For the first time I managed to do the warrior poses with eyes closed without losing balance and without taking a rest between the pauses. I am practising boldness!,0.9996711016,0.40,0.00,0.00,0.70,0.50,0.40,0.00,0.40,164,M
617,"I am bold and behind. My dedication is not what it should be,but I will repeat this again. I am bold in my commitment to finish. Namaste,",0.9997033477,0.30,0.00,0.00,0.70,0.00,0.00,0.00,0.30,137,M
618,Hi Adriene! I love your yoga pants! Can you share where you bought them?,0.9996349812,0.00,0.60,0.50,0.00,0.00,0.00,0.00,0.00,72,J
619,Where are you leggings and top from??! Lovee them!!,0.9969718456,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,51,J
620,❤️,-0.6970567107,0.00,0.50,0.00,0.70,0.00,0.00,0.00,0.70,2,D
621,"I started Yoga Camp 6 days ago, however, I catched a cold and wanted to wait until I'm fine again. So do you recommend finishing yoga camp or starting with revolution? :)",-0.9952771664,-0.30,0.00,0.80,0.70,0.00,0.00,-0.20,0.20,170,M
622,Ohh this was posted on my b-day ❤❤❤,-0.9972140193,0.20,0.00,0.00,0.40,0.00,0.00,0.00,0.30,35,J
623,Yaaaasssssss!!!! 🙌🙌🙌,-0.9896454811,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.60,23,J
624,"Only made it as far as 15 days in a row over the last two 30 Days of Yoga months, I'm sure I'll get further this year :)",0.9071993232,0.30,0.00,0.00,0.60,0.40,0.00,0.00,0.30,120,M
625,"Love how you share the love ❤️ of yoga for free!! You are absolutely beautiful Adriene, one of my most favourite teachers and one of my students told me my teaching style is very similar to yours. Massive compliment 😊😊🙏",0.9997989535,0.40,0.50,0.00,0.70,0.00,0.00,0.00,0.40,222,M
626,"I have finished True and Home now onto Revolution! Thank you so much, Adriene for supplying us with an endless source of yoga, sending you much love and gratitude! <3",0.9998517036,0.30,0.50,0.00,0.70,0.30,0.00,0.00,0.20,166,M
627,"Thank you, Adriene!  Can't WAIT!!",0.9998148084,0.30,0.80,0.00,0.70,0.00,0.00,0.20,0.30,33,P
628,Thank you Adriene 💕 I can't wait 😄,0.999446094,0.30,0.80,0.00,0.70,0.00,0.00,0.20,0.30,36,P
629,"   I have absolutely love love loved the journey so far!! Thank you for offering something so amazing and transformative. The only issue I have is, I was understanding there would be daily emails. Has this changed? I am devouring anything I can get my hands on, and would appreciate some insight, if you have any you'd like to share. 
        Thanks again.",0.9995340109,0.30,0.60,0.80,0.70,0.00,0.00,0.00,0.30,356,M
630,I'm starting the revolution now ....I'm rating to go after 30days of calm 💖,-0.8288176656,0.40,0.50,0.00,0.00,0.10,0.00,0.00,0.00,76,J
631,Can I do this in the evenings/at night? Because during the day I don't have any energy or motivation.,-0.9997422099,-0.40,0.30,0.00,0.60,0.00,0.00,0.00,0.20,101,M
632,"i recently went through a depression and therefore i couldn't take care of myself that well. i'm also having a serious body image issue to the point that i look at the mirror and or photos of myself then i disgusted of what i see, (and i'm actually a size 2) but then again whenever i'm really stressed i go out and binged. i caught bad cold twice in the last  2 months meaning that my immune system is damaged. 

it's 24th january here and two days ago i just turned 24. i subscribed to your channel almost a year ago and i used to religiously do yoga. i watched your introduction of this journey and i cried. i really want to change the way i feel and think about myself and take care of it more. this is my first day, i hope i could go through the journey til the end. i hope to eat healthier and not making too much fuss about what i look on the outside. it's hard but in the end the only person who can help me is myself. please cheer on me Adrienne!",-0.9719974399,0.90,0.00,0.00,0.30,0.30,0.00,0.00,0.40,955,A
633,"Who else is here May 202?  I finished 30 Day OG, Camp, and am now starting this. Any one else having a hard time being easy on yourself? (Why is that kinda funny?)",-0.9934782982,0.40,0.20,0.00,0.70,0.50,0.00,0.00,0.30,163,M
634,"This series remains to be my favorite, maybe because it found me in the right time back in 2017. I'm doing it again and praying.
""Drop the struggle, even if it means you don't go as far - there's an integrity"" this used to and still does make me tear up every time I've seen this video. I need that.",0.9920606613,0.40,0.60,0.00,0.70,0.00,0.00,0.00,0.20,299,M
635,Day one done!,0.9874862432,0.30,0.40,0.00,0.00,0.70,0.70,0.00,0.00,13,D
636,Thank you for this new journey! Happy New Year!🙏❤,0.9998823404,0.20,0.00,0.00,0.50,0.90,0.00,0.00,0.30,50,J
637,"I had to take a week off yoga because of a minor surgery but now I'm back and so thankful! Just like you said on an e-mail a while back ""never feel bad about starting over!"" <3",0.9996606112,-0.20,0.30,0.80,0.70,0.20,0.00,-0.20,0.20,176,M
638,lo empecé!! yaaiiii,0.5266345739,0.60,0.00,0.00,0.60,0.70,0.00,0.00,0.40,19,D
639,"Hi Adriene,

Thanks for this great opportunity to start the new year with a habit creating 31 day yoga plan:)

Greetings from Zurich,

Frank",0.9995849729,0.20,0.40,0.00,0.70,0.20,0.00,0.00,0.30,140,M
640,🙏❤️,-0.6970567107,0.00,0.50,0.00,0.70,0.00,0.00,0.00,0.70,4,D
641,I’ve really been struggling to do these videos because of the length of the videos. Also the amount of time spent talking is a little too much for more of anyone’s feeling the same way or even different let me know.,-0.9995499253,-0.30,0.40,-0.80,0.70,0.00,0.00,0.00,0.00,215,M
642,"I have done yoga on and off but over Christmas vaca I did it everyday. My blood pressure dropped 23 points from 3 months ago, can you believe it?",-0.996850431,0.40,0.20,0.00,0.70,0.30,0.00,0.40,0.20,145,M
643,Dear Adriene. My spine is beginning to feel like its unstrectched and unbalanced. I would love a  practise that'll guide me through to what needs to be lifted and what needs to be let go off to help find my yin and yang. Please and Thank-you 💕,-0.9783822298,-0.50,0.30,-0.90,0.70,0.00,0.00,-0.60,0.00,244,M
644,such a great practice. i feel so renewed after finishing this.,0.9997498393,0.00,0.80,0.00,0.60,0.00,0.00,0.00,0.40,62,J
645,What an enjoyable practice! It is always a pleasure!,0.9998860359,0.00,0.80,0.00,0.60,0.00,0.00,0.00,0.50,52,J
646,"May we always See the truth,
May we always speak the truth,
May we always feel the truth!
Namaste",0.9829287529,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97,J
647,"May 2021 and still in covid lockdown here. I meditated every day almost a year now (may 19 is my meditation anniversary) and i'm thinking about challenge myself for doing yoga everyday for a year. I showed love for my mind and gained so much awareness in my mind last year, why not gain awareness and strength for my body as well? Yoga is giving me both actually. Thank you Adriene for making me realise that.",0.9983155727,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.30,409,A
648,"I've had the flu for the past 4 days and obviously had zero energy to get on my mat. Although I was slowly getting over it, I made myself get on my mat yesterday and today to practice days 6-10. I might be sore tomorrow (especially after doing 3 days of practice today), but I know it will be worth it in the end. I've been following you since the fall and since then, I have notice many changes in myself. My mind is clear, I am slowly controlling my anxiety, and my body has changed in ways I did not think yoga would even affect. Thank you, Adriene, for allowing me to love myself more and more everyday and discovering my love and passion I now have for yoga. Much love xx",0.9975814819,0.70,0.00,0.00,0.70,0.40,0.00,0.00,0.50,676,A
649,Done!!😊Adriene I've been doing yoga with you every day over a year but I really feel this revolution yoga is different .It works like a miracle  inside my mind and body .Thank you indeed for your time and energy!!!Namaste❤🙏,0.999820292,0.40,0.70,0.00,0.80,0.60,0.00,0.30,0.50,225,M
650,I'm saving this for later! Half way through I had to take a break to play catch and release with a giant spider! When I got back on the mat I was too tired to carry on so had a few restorative moments instead... I guess I'll catch up with alignment soon! ♥,-0.7033019662,0.20,0.20,0.00,0.70,0.00,0.00,-0.20,0.30,256,M
651,"Still here . Still trying. I think I will do this practice again after work today. In anticipation of big work day, I was constantly distracted. Maybe this evening will be better. I will let you know. Namaste",-0.934448123,0.30,0.00,0.00,0.70,0.00,0.00,0.00,0.20,208,M
652,"Oh man .. I was exhausted today and have felt like I'm coming down with something . I almost didn't show up , but I did . Because I'm not feeling well and was so tired when I started this one tho , I totally messed up on the lunges and did the same side twice . I got really frustrated when I realized that . I got all ocd about it and told myself I'd have to do the whole video over again to even it out . I got really bummed out thinking I did the opposite of aligning myself lol . But ending this practice I've decided to just let it go . I forgive myself for having a human moment and accept the simple fact that shit happens . I showed up for myself and I did my best . I'm not gonna punish myself because I made a mistake . I need to start listening to my body more and not push myself so much . Shake it off ! Tomorrow is a new day ! Never the less , I feel much better after my time on the mat with u and being with my breath . Now to get some much needed rest ! Love ❤ xoxo",-0.9898297191,0.90,0.00,0.00,0.50,0.00,0.00,-0.50,0.70,982,A
653,"great one, but that straight leg seems like a far away dream hahah :D",-0.9810799956,0.30,0.80,0.00,0.00,0.00,0.00,0.00,0.50,69,J
654,Best Teacher EVER! <3,0.9997627139,0.20,0.80,0.00,0.70,0.00,0.00,0.00,0.60,21,J
655,"Feels so good. Like you said Adriene, showing up for myself every day has made a huge difference to my mood and motivation. I'm getting much more done and i don't feel so depressed all the time! Making time for myself has meant making time for other important stuff too. Thank you ❤️",0.9998162389,0.50,0.60,0.00,0.70,0.40,0.00,0.00,0.30,283,M
656,Yay! I was behind a couple of days but I'm all caught up now. Switching from slower to more active practices helped with that :) I was a little stressed this morning with other work but I stayed determined to continue this 30 day program and 5 minutes in I felt my stress melt away.  Hope everyone is having a great time so far.,0.9863498807,0.30,0.20,0.00,0.70,0.20,0.20,0.00,0.40,328,M
657,awesome practice today! thank you Adriene!,0.9998759031,0.20,0.60,0.00,0.70,0.00,0.00,0.00,0.30,42,J
658,"Been sticking with it, I’m actually on day 7,  but I did 2 session some days. feeling great!",0.9996017814,0.40,0.50,0.00,0.00,0.30,0.00,0.00,0.30,92,J
659,"loved this yoga sesh A-dogg, I am going to make that extended leg pose my biotch some day",0.9971375465,0.50,0.40,0.00,0.00,0.00,0.30,0.30,0.30,89,J
660,Namaste 🙏🏼,-0.8081023097,0.00,0.40,0.00,0.60,0.00,0.60,0.00,0.60,12,D
661,"I personally didn’t do well with this practice. This actually frustrated my present mind rather than clearing it. After a year of yoga with adriene, this is my first experience where a video left my mental state worse than when I began. Hopefully day 13 will be better for me!",-0.999594152,-0.60,0.40,0.00,0.80,0.00,-0.50,0.00,0.50,276,M
662,12 days into this Yoga challenge and the only result I can clearly see are the rips in my yoga pants :(. I had bought them brand new just for this challenge and the only lasted 12 days lol.,-0.9975876808,-0.20,0.20,0.00,0.70,0.00,0.00,0.00,0.30,189,M
663,Do foot cramps happen for anyone else while in tree pose? I'm on my feet a lot and even longboard so I'm unsure why it's happening but it must be just my body getting used to being in tree pose for longer periods of time.,-0.994304359,-0.20,0.20,0.00,0.70,0.00,-0.20,-0.20,0.30,221,M
664,Loved it! <3,0.999861598,0.30,0.60,0.00,0.00,0.70,0.00,0.00,0.60,12,D
665,All I wanna do is yoga with Adriene!  I feel so good while practicing with you.  Afterwards I feel so strong and well adjusted.  All the pain and dysfunction seem to be evaporating.,0.9968403578,0.40,0.30,0.00,0.70,0.20,0.30,0.50,0.40,181,M
666,"Loved today's practice. I started off really shaky, but I think focusing on my breathing really helped me finish strong. Thanks for this series, Adriene!",0.9997732043,0.30,0.50,0.00,0.70,0.20,0.20,0.30,0.30,153,M
667,Thank you,0.9998352528,0.20,0.70,0.00,0.70,0.00,0.00,0.20,0.50,9,D
668,I have never laughed so much at myself during a practise like I have just now especially trying to obtain my balance through tree pose. I'm still giggling away. What a superb practice! :D,0.999232769,0.40,0.40,0.00,0.70,0.00,0.50,0.00,0.30,187,M
669,"Dear Adriene, Revolution Yoga is revolutionary and it is not over yet!!! Treat yourself to a hearty applause for your hard and focused work! I wish I could say this to you in person. :) your student, Carolyn.",0.9997037053,0.20,0.30,0.00,0.70,0.00,0.00,0.00,0.30,208,M
670,13/31 ✔,-0.6661368012,0.70,0.00,0.00,0.50,0.80,0.00,0.00,0.60,7,D
671,"Any time she says opening,  I get scared.",-0.9932518601,-0.20,-0.30,0.00,-0.40,0.00,0.00,0.00,-0.30,41,J
672,"Like Adriene said in today's email, it's not always going to feel good. Quite uncomfortable in my hips today and frankly, feeling a little grumpy afterwards. Emotions in my hips you say? Word.",-0.99917382,-0.20,-0.20,-0.20,-0.30,0.00,0.00,-0.30,-0.20,192,J
673,"Found today's practise really hard. My head was totally not in it, forgot to breathe and was just getting frustrated with my wrist strength!! :(",-0.9995317459,-0.30,-0.20,0.00,-0.40,-0.30,0.00,-0.30,0.00,144,J
674,love the new yoga practice but is there anyway to turn up the volume?   just noticed today's practice was a little on the quiet side?   thanks for your good work,0.9929156303,0.20,0.20,0.40,0.00,0.00,0.30,0.00,0.30,161,J
675,Thanks Adriene!! Lovely practice!,0.9998664856,0.40,0.80,0.00,0.70,0.00,0.20,0.20,0.60,33,P
676,"I am loving these half hour
Sessions adriene - I have never done yoga before but you have opened my eyes! I'm as stiff as a brick but will
Be better each day I know - thankyou!",0.9978406429,0.30,0.50,0.00,0.40,0.00,0.00,0.00,0.50,176,J
677,this was such a beautiful practice:) thank you Adriene,0.9998416901,0.40,0.80,0.00,0.80,0.00,0.30,0.20,0.70,54,P
678,"Dear Adrienne, I have had a heavy Knee surgery in January. After months of recovering, I was still in Pain. As I did the Programm ""true"" with you already, I decided to do yoga again. Today I finished day seven and feel better already. The knee is still aching, but the rest of my body is gaining strength. That helps me a lot to walk, stand an breathe better. You gave me hope and confidence. Thank you so much. namaste",0.9993594289,0.40,0.00,0.00,0.30,0.30,0.00,0.70,0.50,419,A
679,"Strange enough it is in my arms that I feel the work....
Now if this belly fat would melt the knee to nose and other flexion would be easier ! 
I'll get there",0.8522665501,0.20,0.00,0.00,0.20,0.40,0.50,0.50,0.40,158,J
680,"Thank you, Adriene. I wish I had done this at the beginning of the day rather than the end. ✌️",-0.6686427593,0.30,0.40,0.00,0.00,0.00,0.00,0.00,0.40,94,J
681,Why do you think my legs would go numb and tingly in certain poses?,-0.998167038,0.40,0.00,0.60,0.00,0.00,0.00,0.30,0.00,67,J
682,Adriene why do you suggest we come into Mountain Pose without looking at out feet? I dont have a problem with doing this I feel centered but you say it alot and I wonder if I am missing something x,-0.9930190444,0.30,0.00,0.60,0.20,0.30,0.60,0.00,0.20,197,J
683,"Wow, this was a tough one. I am really top heavy so some poses are really difficult. I was wondering if I can bend my front knee in pyramid pose or do I need to widen/adjust my stance to give myself more stability?",-0.9940692186,0.20,0.20,0.50,0.40,0.50,0.60,0.40,0.40,214,J
684,"Lol! My computer was buffering twice during this practice--while we were doing seated cat-cow, and extended child's pose. I wasn't watching the video, and at first thought it was odd you weren't speaking, but I got really into my breath :) Great practice today!",0.9985992312,0.40,0.40,0.00,0.50,0.30,0.20,0.20,0.60,261,J
685,"Hello Mrs. Adriene, I struggle with depression and i've been going to your videos to help me cope with it. It definitely has been making a significant impact in my life and i am forever greatful!",0.9998645782,0.40,0.50,0.00,0.40,0.40,0.40,0.60,0.70,195,J
686,This is my 4th 30 day journey since I discovered the wonder of you and it is my favorite series of them all. I love the challenge that comes with the ease of your voice it's almost comforting and makes the harder moves go by more easily. I've become so much calmer with myself thanks to you. I have had anxiety problems for a while but this really takes care of it better than any counseling or medication ever has. Thank you.,0.9997745156,0.70,0.00,0.00,0.50,0.30,0.00,0.00,0.30,426,A
687,"finding its always tighter on one side then the other.. But feeling great after each of these sessions. learning to just embrace where iam at and where I am going. 
Namaste!",0.999778688,0.30,0.40,0.00,0.40,0.00,0.00,0.00,0.50,173,J
688,You put a lot of time and effort. Almost as if you were next to me.,0.9988858104,0.00,0.70,0.00,0.50,0.00,0.00,0.00,0.40,67,J
689,"My legs don't stay straight and my shoulders and lower back are super tight despite years of yoga but still, this session was amazing - made me so emotional and was incredibly cleansing! I always get emotional when I work my hips and lower back.... something to do with the root chakra perhaps?! Anyway, thank you again Adriene, for your continually incredible, funny, calming and supportive videos. Couldn't do it without you. Much love x",0.9998115897,0.50,0.20,0.00,0.40,0.00,0.00,-0.30,0.60,439,A
690,Namaste.,-0.7076319456,0.00,0.40,0.00,0.60,0.00,0.60,0.00,0.60,8,D
691,"I sware when I held the crow pose for longer than 5 seconds, I yelled out screams of joy and woke up my whole house. They were a bit upset because it was 5a.m, but I didn't care because I graduated from an exhausted pigeon to a strong crow within a matter of seconds😬",-0.9864597321,-0.30,0.00,0.00,-0.20,0.00,-0.20,0.00,0.00,268,J
692,Wunderbar!!!!! Hey....Adriene goes German! Today was really wunderbar!!!! I matched this crow pose for a nano second :-D Feel sooooo goooooood!,-0.9906305671,0.00,-0.20,0.00,0.00,0.00,-0.20,-0.20,-0.30,143,J
693,i managed one leg in crows pose!,-0.9760816693,0.30,0.00,0.00,0.00,0.00,0.30,0.40,0.30,32,J
694,"day 15 done. today's practice is a little bit challenging, half way there. Namaste",0.624607265,0.00,0.60,0.00,0.00,0.50,0.00,0.00,0.40,82,J
695,"This practice could not have come at a better time for me. I have severe panic disorder and much of it is centered around traveling. I have to travel to Chicago next week so needless to say I've been absolutely FILLED with fear recently. I'll be repeating this practice leading up to my trip as a reminder to move through life fearlessly, because there is nothing I can't do. Thank you, Adriene 💓",0.9957916737,0.60,0.20,0.00,-0.30,0.00,0.30,0.40,0.00,397,E
696,This is by far the most challenging one for me. But i embrace this day!!!,0.9998105168,0.20,0.30,0.00,0.40,0.00,-0.20,0.00,0.00,73,E
697,There are no words to describe my transformation really....but to say letting go of fear has been one of my biggest battles thus far! I thank you!!! Peace and love!,0.9997329116,0.50,0.40,0.00,0.40,0.70,0.30,0.50,0.70,164,J
698,"stop making this 30min, 20 is fine..",0.9345419407,0.20,0.40,0.00,-0.20,0.00,0.20,0.00,0.20,36,J
699,Tricky practice. Crow pose beginning to feel achievable,0.9890781045,0.30,0.20,0.00,0.20,0.00,0.70,0.00,0.00,55,E
700,"ICE CREAM!!!! Gotta be ice cream! It’s an addiction 🥰 No specific flavor. I love it all. LOLOL
Namaste 🙏🏻 😌",-0.5919078588,0.30,0.50,0.00,0.40,0.00,0.00,0.00,0.00,111,E
701,"is it bad that I look at the practice the night before to see if it's going to be INSTENSE and sweaty or not? lol 

I must say that coming from a person that has said several times, ""I HATE YOGA,"" I look forward to this practice everyday. I can't believe I made it to day 16 already!!!!",-0.9992493987,0.40,0.60,0.00,0.50,0.00,-0.30,-0.20,0.00,286,E
702,"In general, I have  a hard time with cow legs,  but this time I was left with a terrible pain in the lower back. Any advice how to grow into cow legs and what might have caused the pain in the back? Thank you.",-0.9968509078,0.40,0.40,0.80,0.50,0.00,0.30,0.70,0.00,209,E
703,"Adriene, my thighs are too big.  😂😂",-0.997643888,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37,J
704,I love ice cream... especially with peanut butter! And I love Yoga Revolution... and Adriene!,0.9996683598,0.60,0.50,0.00,0.50,0.00,0.00,0.00,0.00,93,E
705,"Thank you, that WAS sweet, Namaste ...",0.9998255372,0.00,0.50,0.00,0.60,0.00,0.00,0.00,0.70,38,J
706,you never fail to make me laugh during my practices. thank you Adriene. You make yoga so fun and enjoyable.,0.9998819828,0.20,0.50,0.00,0.50,0.00,0.00,0.00,0.00,107,E
707,"!My favorite day so far! Thank you so much Adriene
Namaste and a hug 💜",0.9998067021,0.70,0.80,0.00,0.80,0.20,0.10,0.00,0.60,71,P
708,"Plain chocolate, always. Loving your work sweet Adriene xx",0.9998292923,0.00,0.60,0.00,0.30,0.00,0.00,0.00,0.00,58,E
709,Thank you Adriene 😊. Loved the practice,0.9998594522,0.40,0.80,0.00,0.70,0.00,0.20,0.20,0.60,40,P
710,Namaste stay still :),-0.8794572353,0.00,0.00,0.40,0.20,0.20,0.00,0.00,0.50,21,J
711,Hi Adrienne - I LOVING Yoga Revolution. Totally random Q: where are the gray comfy-looking pants you're wearing in this video from?,-0.9149115682,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,131,E
712,is it safe to do the posture in the video post. if you have neck problem?,-0.9962450862,0.00,0.00,0.90,0.00,0.00,0.60,0.90,0.00,73,E
713,"Did anyone else smile at the word ""Stillness"" after a rough day at work?",-0.9954583645,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,72,E
714,2020 - im doing it ^^ Thank you Adriene :),0.9993417859,0.50,0.30,0.00,0.20,0.40,0.00,0.00,0.50,42,D
715,This one was tough and I have already done it twice.  I will try again tomorrow before I move on to day 18.  Thanks again for always being something different to the mat.,0.9809049368,0.50,0.40,0.00,0.40,0.00,0.30,-0.30,0.00,170,E
716,This one felt SOOO good today! I've also rested in shavasana quite okay after SO long. I must admit it's been a very feared posture because of tailbone crunching that I've been experiencing in similar poses for so long now. But for the past few weeks I've been going to rehabilitation and it's gotten SO SO SO much better! So I'm now very proud to slowly return to this yoga experience😌❤. Namaste friends!🙏,0.997913301,0.80,0.00,0.00,0.50,0.00,-0.40,-0.50,0.40,408,A
717,"Fantastic practice today! I needed a more gentle practice today after my yoga class last night and it was perfect. I love holding poses longer and really makes me tune in to where I am with my body and my emotions. Alternate nostril breathing is also my fave! Thank you, Adriene! Namaste and enjoy your day/evening, fellow yogis and yoginis. :)",0.9998350143,0.60,0.70,0.00,0.50,0.40,0.70,0.70,0.00,344,A
718,"This yoga video is slow to get going, but a good one, the yoga is not to hard there a pose we have not come across before which is always good.",0.9975247979,-0.20,-0.20,0.30,-0.20,0.00,0.30,0.20,0.00,143,J
719,Namaste <3,0.6768577695,0.00,0.40,0.00,0.60,0.00,0.60,0.00,0.60,10,D
720,✌️,-0.6970567107,0.00,0.50,0.00,0.70,0.00,0.00,0.00,0.70,2,D
721,"at 15:00 when i was bring myself up i faint, and almost hit myself , so why did that happen any ideas is it because of  the stress? or the nerves or something?",-0.9994412065,0.50,0.20,0.80,0.20,0.00,0.00,0.70,0.00,159,E
722,"this video is not coming up for me, the screen stays black while i hear Adriene talking.. anyone else having this problem? Hopefully it's temporary, I will move on to day 19 and come back another day :)",-0.9969371557,0.50,0.40,0.90,0.00,0.00,0.00,0.00,0.90,202,E
723,You killed me today. Namaste,-0.9722393155,0.40,0.40,0.00,0.70,0.30,0.60,0.60,0.70,28,J
724,Thanks Adriene! Great vid!,0.9998500347,0.30,0.70,0.00,0.60,0.00,0.00,0.20,0.80,26,P
725,"So revitalising. I am going to Kooza, the new Cirque du soleil show, this evening, I wonder how they would do with this balancing practice ;). Teared up at the end and found myself telling you my plans for this evening! Namaste, Adriene :)",0.9973570108,0.50,0.30,0.00,0.40,0.00,0.40,-0.30,0.00,239,E
726,"Amazing practice, thank you Andriene!!! You gave me a big smile today :) :)",0.9998579025,0.50,0.80,0.00,0.70,0.00,0.10,0.20,0.50,75,P
727,Thank you again Adrienne for an awakening start to my day!,0.9998652935,0.50,0.70,0.00,0.50,0.00,0.00,0.30,0.40,58,P
728,How do you know?? Thank you :),0.9812160134,0.00,0.00,0.20,0.50,0.00,0.00,0.00,0.50,30,J
729,"Dear Adriene. Thank you so much for your positive mind and this amazing challenge! I started last week on a Wednesday and I was so committed and enthusiastic that I turned it up a notch. The first four days I did 4 practices a day, YES INSANITY! On Saturday I only had to do day 13 and 14 and from Sunday on I could start with the daily uploads.

Because of worn knee cartilage, a birth defect at my left SI joint and suffering from brain damage I'm having major issues with balance, getting my thoughts sorted, being in the moment, enjoying life and being in control of my emotions. For my knees and back I tried physiotherapy but that didn't work. For my mind I tried mindfulness, but I can't concentrate enough to keep that up. Yet now I committed to this 31 days I'm noticing a huge difference and it makes me feel good and proud of myself.

Today I was able to stand in tree pose with ease. During plank pose I'm noticing it is getting easier and my body strength is increasing. I even surprise myself when you come up with new challenges to certain poses and I can do it just like that. Last week I often found myself saying ""Oh hell no Adriene! Not happening!"" and now I more like ""Bring it on and lets do it!"". That just happened in one week of hard practice. The only day that was hard on me was day 12, because I literally broke down in tears. So much emotions took over that day, I just surrendered and kept on practicing while crying. I felt better afterwards though!

After these 18 days I feel more in control, aware, mindful, I learned to be better at putting things in perspective and be at peace with what I can and what I cannot do. These changes mean so much to me because it's good to know that although my body isn't a strong as it should be and my brain is messed up, I can feel lots of happiness in where I'm at at this moment and witness stillness and be in control of myself. I needed this so much!

I love your positive vibe and spirit! Much love to you Adriene! Looking forward to tomorrows challenge! I Namaste! <3

Sorry for the wall of text! Just had to let you know!",0.9941390753,0.60,0.90,0.40,0.90,0.90,0.80,0.90,0.00,2097,D
730,"i got a little too ambitious with half splits, feel forward and smashed my face into my laptp and gave myself a bloodly lip lol but i think my laptop is okay",-0.7070114613,0.50,0.30,0.00,0.50,0.00,-0.30,0.80,0.00,157,E
731,"The hardest one in this series, stand still postures is hard when you are 105kg/210p.",-0.9911320806,0.50,0.60,0.00,0.00,0.00,0.60,0.80,0.00,85,E
732,Perfect for today! Was feeling heavy lately and now I feel light 💛. A “wog” is the cross between a walk and a jog! I say it all the time 😄,-0.950807631,0.40,0.50,0.00,0.50,0.00,0.40,0.00,0.00,140,E
733,"Hey Adrienne!  You might want to be a wee bit careful with the word ""wog"" - it's also a racist insult! https://en.wikipedia.org/wiki/Golliwog",-0.9982268214,0.60,0.80,0.40,0.20,0.00,0.00,0.00,0.00,141,E
734,"Day 19!!! Never dreamed I could do this. You make it interesting, challenging and fun! THANK YOU! What would you recommend for a follow up on Day 32? I can now see that practicing every day makes all the difference.",0.9998624325,0.30,0.50,0.90,0.60,0.50,0.60,0.00,0.00,215,E
735,"Thanks Adrienne, this one started softly & then near the end it went tough in a few breaths! I wasn't expecting it but I love the variety that you are giving us. Thank you. It's hard doing this when it's cold here so I had three latyers on top untill we started side plank & then I warmed up 🔥 and was well lit. Namaste x",0.9996954203,0.50,0.30,0.00,0.40,0.00,0.50,0.00,0.00,322,E
736,Really loving Yoga Revolution during lockdown.Something to look forward too everyday.Thanks,0.9996058345,0.00,0.30,0.00,0.40,0.00,0.00,0.00,0.20,91,E
737,I dont know how it happens but you and I mostly align with what I need that they. Today's practice was so helpful to embrace. Thanks,0.999650836,0.30,0.50,0.00,0.40,0.00,0.00,0.00,0.00,132,E
738,"addicted to yoga revolution !idk how i even found you but have LOVED you from the start !   Inner smile needed today .. .as I spent most of Morning with Mum who is suffering from Alzheimer's. I've use your word ""WOG"" at times .For me It means a combination of walking and jogging..I must look like a crazy person when I do itLOL I just created another while making fresh eggplant parmesan during class.....""SCRUM""   a combination of scrumptious and yummy! YES time to eat . Adrienne u rock my World ......Peace and Love Baby !",0.9901238084,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.40,526,A
